"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 03:53:35 GMT+06:00 2025","Thu Aug 07 03:54:10 GMT+06:00 2025","34891","tests","test_leave","","","","test_leave_application",""
"passed","Thu Aug 07 03:51:20 GMT+06:00 2025","Thu Aug 07 03:51:45 GMT+06:00 2025","24759","tests","test_login","","","","test_login",""
"passed","Thu Aug 07 03:52:45 GMT+06:00 2025","Thu Aug 07 03:53:12 GMT+06:00 2025","27296","tests","test_checkin","","","","test_checkin",""
"skipped","Thu Aug 07 03:48:52 GMT+06:00 2025","Thu Aug 07 03:48:52 GMT+06:00 2025","0","","","","","","test_checkin",""
"passed","Thu Aug 07 03:52:02 GMT+06:00 2025","Thu Aug 07 03:52:28 GMT+06:00 2025","26146","tests","test_attendance","","","","test_attendance_search",""
